SKU,Masked SKU,image,Vendor,Category,INV,INITIAL ORDER,LIVE DATE,Production,Intransit,Proposed Qty/MOnth,30Days,90Days,180Days,360Days,Out of Stock Status,COMMENTS
UPT-196015,,![my-image](http://benzaraanalytics.com/T_images/UPT-196015.jpg),Aaina Craft,Top Sellers,7,,,373,148,120,73,159,325,468,3,
UPT-39280,BM139709,![my-image](http://benzaraanalytics.com/T_images/UPT-39280.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,1,2,Out of stock from 30th May,
UPT-38930,BM139711,![my-image](http://benzaraanalytics.com/T_images/UPT-38930.jpg),Aaina Craft,Normal Seller,16,,,192,66,,2,15,131,285,0,
UPT-39290,BM139710,![my-image](http://benzaraanalytics.com/T_images/UPT-39290.jpg),Aaina Craft,Normal Seller,78,,,150,55,,26,40,105,249,Out of stock from 18th June,
UPT-70700,BM154086,![my-image](http://benzaraanalytics.com/T_images/UPT-70700.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,0,14,Out of stock since 1st feb,
UPT-30350,BM49583,![my-image](http://benzaraanalytics.com/T_images/UPT-30350.jpg),Aaina Craft,Normal Seller,56,,,4,216,80,5,5,133,199,Out of stock from 17th June,
UPT-636015000,B012588321,![my-image](http://benzaraanalytics.com/T_images/UPT-636015000.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,1,1,Out of stock from 5th May,
UPT-182996,BM182996,![my-image](http://benzaraanalytics.com/T_images/UPT-182996.jpg),Aaina Craft,Normal Seller,40,,,160,,16,34,55,74,149,19,
UPT-195128,BM195128,![my-image](http://benzaraanalytics.com/T_images/UPT-195128.jpg),Aaina Craft,Normal Seller,0,,,60,76,,13,13,61,72,Out of stock from 24th May,
UPT-98000,BM139713,![my-image](http://benzaraanalytics.com/T_images/UPT-98000.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,0,13,Out of stock from 29th Feb,
UPT-24500,UPT-24500,![my-image](http://benzaraanalytics.com/T_images/UPT-24500.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,0,16,Out of stock since 1st feb,
FOA-CM-AC209,BM122854,![my-image](http://benzaraanalytics.com/T_images/FOA-CM-AC209.jpg),Aaina Craft,Normal Seller,48,,,120,27,,11,43,67,101,27,
UPT-39270,BM139708,![my-image](http://benzaraanalytics.com/T_images/UPT-39270.jpg),Aaina Craft,Normal Seller,27,,,100,5,,64,118,124,157,43,
FOA-CM-DK6276,BM123677,![my-image](http://benzaraanalytics.com/T_images/FOA-CM-DK6276.jpg),Aaina Craft,Normal Seller,0,,,266,1,,8,40,158,248,Out of stock from 9th June,
UPT-69200,BM154092,![my-image](http://benzaraanalytics.com/T_images/UPT-69200.jpg),Aaina Craft,Normal Seller,0,,,24,,,0,0,0,25,Out of stock since 13th feb,
FOA-CM4324S,BM119862,![my-image](http://benzaraanalytics.com/T_images/FOA-CM4324S.jpg),Aaina Craft,Discontinued,169,,,,,,20,52,86,137,202,
UPT-69000,BM154084,![my-image](http://benzaraanalytics.com/T_images/UPT-69000.jpg),Aaina Craft,Normal Seller,44,,,120,,,13,29,97,129,1,
WLK-DBH1DO,BM184290,![my-image](http://benzaraanalytics.com/T_images/WLK-DBH1DO.jpg),Aaina Craft,Slow Seller,66,,,,,,2,14,31,39,72,
UPT-69100,BM154085,![my-image](http://benzaraanalytics.com/T_images/UPT-69100.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,0,14,Out of stock since 1st feb,
UPT-184808,,![my-image](http://benzaraanalytics.com/T_images/UPT-184808.jpg),Aaina Craft,Normal Seller,10,,,132,69,40,19,71,172,232,5,
UPT-182997,BM182997,![my-image](http://benzaraanalytics.com/T_images/UPT-182997.jpg),Aaina Craft,Normal Seller,12,,,24,24,,7,13,18,27,20,
UPT-195125,,![my-image](http://benzaraanalytics.com/T_images/UPT-195125.jpg),Aaina Craft,Slow Seller,28,,,24,1,,7,16,16,28,3,
UPT-73100,BM154093,![my-image](http://benzaraanalytics.com/T_images/UPT-73100.jpg),Aaina Craft,Slow Seller,12,,,,,,1,1,1,10,Out of stock from 29th Feb,
UPT-75900,BM154087,![my-image](http://benzaraanalytics.com/T_images/UPT-75900.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,1,5,Out of stock since 15th July,
UPT-183800,BM183800,![my-image](http://benzaraanalytics.com/T_images/UPT-183800.jpg),Aaina Craft,Normal Seller,20,,,32,32,,5,10,16,23,22,
UPT-73400,BM154094,![my-image](http://benzaraanalytics.com/T_images/UPT-73400.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,1,23,Out of stock from 24th April,
UPT-195129,BM195129,![my-image](http://benzaraanalytics.com/T_images/UPT-195129.jpg),Aaina Craft,Normal Seller,0,,,24,1,,25,33,33,53,Out of stock from 2nd April,
UPT-195126,BM195126,![my-image](http://benzaraanalytics.com/T_images/UPT-195126.jpg),Aaina Craft,Slow Seller,0,,,36,,,0,1,21,30,Out of stock since 15th July,
UPT-70800,BM154096,![my-image](http://benzaraanalytics.com/T_images/UPT-70800.jpg),Aaina Craft,Discontinued,0,,,,,,,,,,Out of stock since 1st feb,
UPT-195279,,![my-image](http://benzaraanalytics.com/T_images/UPT-195279.jpg),Aaina Craft,Normal Seller,0,,,50,50,,0,0,28,45,Out of stock from 24th June,
UPT-182998,BM182998,![my-image](http://benzaraanalytics.com/T_images/UPT-182998.jpg),Aaina Craft,Normal Seller,0,,,90,,10,1,6,35,57,2,
UPT-195118,,![my-image](http://benzaraanalytics.com/T_images/UPT-195118.jpg),Aaina Craft,Normal Seller,0,,,30,,,0,1,32,50,Out of stock from 24th June,
UPT-38940,BM139712,![my-image](http://benzaraanalytics.com/T_images/UPT-38940.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,0,11,Out of stock since 13th feb,
UPT-70100,BM154091,![my-image](http://benzaraanalytics.com/T_images/UPT-70100.jpg),Aaina Craft,Discontinued,25,,,,,,2,13,22,37,31,
UPT-39250,BM139707,![my-image](http://benzaraanalytics.com/T_images/UPT-39250.jpg),Aaina Craft,Discontinued,0,,,,,,0,0,31,53,Out of stock from 1st June,
UPT-195124,BM195124,![my-image](http://benzaraanalytics.com/T_images/UPT-195124.jpg),Aaina Craft,Discontinued,20,,,,,,0,1,3,6,19,
UPT-186119,UPT-186119,![my-image](http://benzaraanalytics.com/T_images/UPT-186119.jpg),Aaina Craft,Normal Seller,0,,,50,,,0,0,2,31,Out of stock from 17th April,
UPT-195121,BM195121,![my-image](http://benzaraanalytics.com/T_images/UPT-195121.jpg),Aaina Craft,Normal Seller,0,,,10,18,,0,0,3,11,Out of stock from 13th May,
UPT-70200,BM154089,![my-image](http://benzaraanalytics.com/T_images/UPT-70200.jpg),Aaina Craft,Discontinued,5,,,,,,0,0,1,4,5,
UPT-195277,,![my-image](http://benzaraanalytics.com/T_images/UPT-195277.jpg),Aaina Craft,Normal Seller,5,,,30,,,7,15,17,25,22,
UPT-195276,,![my-image](http://benzaraanalytics.com/T_images/UPT-195276.jpg),Aaina Craft,Normal Seller,0,,,36,,,9,26,26,37,6,
UPT-195127,,![my-image](http://benzaraanalytics.com/T_images/UPT-195127.jpg),Aaina Craft,Slow Seller,18,,,,18,,0,0,0,7,Out of stock from 4th march,
UPT-70600,BM155000,![my-image](http://benzaraanalytics.com/T_images/UPT-70600.jpg),Aaina Craft,Discontinued,2,,,,,,1,1,2,4,2,
UPT-195123,,![my-image](http://benzaraanalytics.com/T_images/UPT-195123.jpg),Aaina Craft,Normal Seller,11,,,26,3,,2,2,2,13,Out of stock from 2nd April,
UPT-74400,BM154095,![my-image](http://benzaraanalytics.com/T_images/UPT-74400.jpg),Aaina Craft,Discontinued,2,,,,,,,,,,2,
UPT-183799,BM183799,![my-image](http://benzaraanalytics.com/T_images/UPT-183799.jpg),Aaina Craft,Slow Seller,0,,,40,40,,0,1,1,28,Out of stock from 17th April,
UPT-182999,BM182999,![my-image](http://benzaraanalytics.com/T_images/UPT-182999.jpg),Aaina Craft,Slow Seller,19,,,18,12,,0,0,8,23,Out of stock from 23rd May,
UPT-195122,,![my-image](http://benzaraanalytics.com/T_images/UPT-195122.jpg),Aaina Craft,Top Sellers,0,,,85,17,,0,43,43,51,7,
UPT-195119,BM195119,![my-image](http://benzaraanalytics.com/T_images/UPT-195119.jpg),Aaina Craft,Discontinued,9,,,,,,0,2,4,4,10,
FOA-CM4324E,BM119861,![my-image](http://benzaraanalytics.com/T_images/FOA-CM4324E.jpg),Aaina Craft,Discontinued,0,,,,,,,,,,Out of stock since 1st feb,
UPT-195117,BM195117,,Aaina Craft,New Seller,0,,,,,,,,,,0,
UPT-195120,BM195120,,Aaina Craft,New Seller,0,,,,,,,,,,0,
UPT-197864,,![my-image](http://benzaraanalytics.com/T_images/UPT-197864.jpg),Aaina Craft,New Seller,0,,,24,,,0,1,12,13,Out of stock from 26th June,
UPT-197865,BM197865,![my-image](http://benzaraanalytics.com/T_images/UPT-197865.jpg),Aaina Craft,New Seller,0,,,24,,,0,0,6,7,Out of stock from 21st May,
UPT-197866,,![my-image](http://benzaraanalytics.com/T_images/UPT-197866.jpg),Aaina Craft,New Seller,0,,,18,,,0,0,1,7,Out of stock from 17th April,
UPT-197867,BM197867,![my-image](http://benzaraanalytics.com/T_images/UPT-197867.jpg),Aaina Craft,New Seller,12,,,,,,,,,,0,
UPT-197868,,![my-image](http://benzaraanalytics.com/T_images/UPT-197868.jpg),Aaina Craft,Slow Seller,5,,,,,,2,5,9,10,7,
UPT-197869,BM197869,,Aaina Craft,New Seller,0,,,,,,,,,,0,
UPT-197870,,![my-image](http://benzaraanalytics.com/T_images/UPT-197870.jpg),Aaina Craft,New Seller,0,,,4,50,,0,0,12,21,Out of stock from 14th May,
UPT-199996,,![my-image](http://benzaraanalytics.com/T_images/UPT-199996.jpg),Aaina Craft,New Seller,0,,,1,50,,0,2,4,21,Out of stock from 17th April,
UPT-197871,,![my-image](http://benzaraanalytics.com/T_images/UPT-197871.jpg),Aaina Craft,New Seller,0,,,12,,,0,3,9,9,1,
UPT-197872,,![my-image](http://benzaraanalytics.com/T_images/UPT-197872.jpg),Aaina Craft,New Seller,0,,,24,,,0,0,8,8,Out of stock since 15th July,
UPT-197873,,![my-image](http://benzaraanalytics.com/T_images/UPT-197873.jpg),Aaina Craft,New Seller,2,,,12,,,0,1,4,5,2,
UPT-197874,,![my-image](http://benzaraanalytics.com/T_images/UPT-197874.jpg),Aaina Craft,New Seller,0,,,24,,,0,0,5,12,Out of stock from 28th May,
UPT-204781,,![my-image](http://benzaraanalytics.com/T_images/UPT-204781.jpg),Aaina Craft,New Seller,0,,,12,24,,1,1,19,23,Out of stock from 1st June,
UPT-204782,BM204782,![my-image](http://benzaraanalytics.com/T_images/UPT-204782.jpg),Aaina Craft,New Seller,6,,,,,,16,16,16,16,0,
UPT-204783,BM204783,![my-image](http://benzaraanalytics.com/T_images/UPT-204783.jpg),Aaina Craft,New Seller,0,10,,,,,,,,,0,
UPT-204784,BM204784,![my-image](http://benzaraanalytics.com/T_images/UPT-204784.jpg),Aaina Craft,New Seller,0,10,,18,,,0,0,10,10,Out of stock since 15th July,
UPT-204785,,![my-image](http://benzaraanalytics.com/T_images/UPT-204785.jpg),Aaina Craft,New Seller,0,,,12,24,,0,0,3,10,Out of stock from 24th April,
UPT-204786,,![my-image](http://benzaraanalytics.com/T_images/UPT-204786.jpg),Aaina Craft,Top Sellers,0,,,36,36,,0,0,1,10,Out of stock from 24th April,
UPT-204787,,![my-image](http://benzaraanalytics.com/T_images/UPT-204787.jpg),Aaina Craft,Top Sellers,0,,,9,50,,0,0,1,11,Out of stock from 17th April,
UPT-204788,BM204788,![my-image](http://benzaraanalytics.com/T_images/UPT-204788.jpg),Aaina Craft,New Seller,0,10,,,,,,,,,0,
UPT-204789,BM204789,![my-image](http://benzaraanalytics.com/T_images/UPT-204789.jpg),Aaina Craft,New Seller,25,10,,,,,,,,,10,
UPT-204790,BM204790,![my-image](http://benzaraanalytics.com/T_images/UPT-204790.jpg),Aaina Craft,New Seller,0,19,,,,,,,,,0,
UPT-204791,BM204791,![my-image](http://benzaraanalytics.com/T_images/UPT-204791.jpg),Aaina Craft,New Seller,1,10,,50,,,5,10,10,10,8,
UPT-195274,BM195274,![my-image](http://benzaraanalytics.com/T_images/UPT-195274.jpg),Aaina Craft,Normal Seller,0,,,24,,,0,0,2,12,Out of stock from 2nd April,
UPT-195278,BM195278,![my-image](http://benzaraanalytics.com/T_images/UPT-195278.jpg),Aaina Craft,Normal Seller,0,,,18,,,0,0,3,11,Out of stock from 24th April,
UPT-195275,UPT-195275,![my-image](http://benzaraanalytics.com/T_images/UPT-195275.jpg),Aaina Craft,Normal Seller,3,,,12,,,1,2,6,6,6,
UPT-32182,BM204792,![my-image](http://benzaraanalytics.com/T_images/UPT-32182.jpg),Aaina Craft,New Seller,62,,,,60,,63,63,77,97,Out of stock from 17th April,
UPT-215750,UPT-215750,![my-image](http://benzaraanalytics.com/T_images/UPT-215750.jpg),Aaina Craft,New Seller,0,,,,,,1,1,1,1,0,
UPT-215751,UPT-215751,,Aaina Craft,New Seller,0,,,1,11,,,,,,0,
UPT-215752,UPT-215752,,Aaina Craft,New Seller,0,,,12,,,,,,,0,
UPT-229062,UPT-229062,,Aaina Craft,New Seller,0,,,20,,,,,,,0,
UPT-229063,UPT-229063,,Aaina Craft,New Seller,0,,,12,,,,,,,0,
UPT-229605,UPT-229605,![my-image](http://benzaraanalytics.com/T_images/UPT-229605.jpg),Aaina Craft,New Seller,6,6,,,6,,,,,,0,
UPT-229606,UPT-229606,,Aaina Craft,New Seller,0,,,,6,,,,,,0,
AMF-72847,BM163021,![my-image](http://benzaraanalytics.com/T_images/AMF-72847.jpg),Acme Direct factory,Normal Seller,41,,,0,0,,7,17,51,136,53,
NAU-SH8763,BM34833,![my-image](http://benzaraanalytics.com/T_images/NAU-SH8763.jpg),AK Exports,Top Sellers,15,,,0,0,,3,42,418,901,Out of stock since 15th July,re
NAU-SH8760,BM34831,![my-image](http://benzaraanalytics.com/T_images/NAU-SH8760.jpg),AK Exports,Normal Seller,1029,,,0,0,,38,182,639,917,1069,
NAU-SH8764,BM34836,![my-image](http://benzaraanalytics.com/T_images/NAU-SH8764.jpg),AK Exports,Normal Seller,821,,,0,0,,87,287,540,754,984,
NAU-SH8762,BM34832,![my-image](http://benzaraanalytics.com/T_images/NAU-SH8762.jpg),AK Exports,Normal Seller,1396,,,0,0,,77,221,388,512,1484,
AMC-171102,BM154998,![my-image](http://benzaraanalytics.com/T_images/AMC-171102.jpg),Akbar Metal and Brass,Top Sellers,1,,,1892,0,,957,957,1993,3479,Out of stock from 3rd June,
I457-AMC0002,BM166871,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0002.jpg),Akbar Metal and Brass,Top Sellers,0,,,486,0,,324,451,688,1353,45,
I457-AMC0018,BM177866,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0018.jpg),Akbar Metal and Brass,Normal Seller,11,,,0,400,,0,0,130,225,Out of stock from 10th June,
I457-AMC0012,BM166881,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0012.jpg),Akbar Metal and Brass,Slow Seller,0,,,80,60,,0,0,1,138,Out of stock since 13th feb,
I457-AMC0010,BM166879,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0010.jpg),Akbar Metal and Brass,Normal Seller,0,,,230,0,,0,0,222,294,Out of stock from 2nd July,
IMX-65345,BM16184,![my-image](http://benzaraanalytics.com/T_images/IMX-65345.jpg),Akbar Metal and Brass,Normal Seller,31,,,405,0,,22,49,234,464,84,
I457-AMC0016,BM177864,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0016.jpg),Akbar Metal and Brass,Normal Seller,27,,,100,0,,1,131,153,180,51,
I457-AMC0001,BM166870,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0001.jpg),Akbar Metal and Brass,Normal Seller,68,,,100,0,,24,101,225,277,114,
CTW-770014,BM167291,![my-image](http://benzaraanalytics.com/T_images/CTW-770014.jpg),Akbar Metal and Brass,Normal Seller,0,,,150,0,,1,84,112,136,29,
I457-AMC0017,BM177865,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0017.jpg),Akbar Metal and Brass,Discontinued,87,,,0,0,,3,6,14,40,91,
I457-AMC0008,BM166877,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0008.jpg),Akbar Metal and Brass,Normal Seller,192,,,0,152,,11,40,81,136,192,
I457-AMC0014,BM177867,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0014.jpg),Akbar Metal and Brass,Top Sellers,0,,,400,0,,0,1,255,334,Out of stock from 1st July,
I457-AMC0006,BM166875,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0006.jpg),Akbar Metal and Brass,Discontinued,123,,,0,0,,2,7,49,65,114,
NAU-IR2567,BM154506,![my-image](http://benzaraanalytics.com/T_images/NAU-IR2567.jpg),Akbar Metal and Brass,Normal Seller,366,,,0,0,,1,16,77,117,363,
I457-AMC0011,BM166880,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0011.jpg),Akbar Metal and Brass,Slow Seller,95,,,58,0,,12,12,92,150,Out of stock from 29th May,
I457-AMC0003,BM166872,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0003.jpg),Akbar Metal and Brass,Discontinued,253,,,0,0,,6,32,97,132,259,
I457-AMC0013,BM166882,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0013.jpg),Akbar Metal and Brass,Normal Seller,0,,,0,144,,1,1,62,159,Out of stock from 27th May,
I457-AMC0007,BM166876,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0007.jpg),Akbar Metal and Brass,Discontinued,91,,,0,0,,5,63,146,184,102,
I457-AMC0004,BM166873,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0004.jpg),Akbar Metal and Brass,Normal Seller,0,,,100,80,,0,1,51,102,Out of stock from 24th May,
I457-AMC0015,BM177863,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0015.jpg),Akbar Metal and Brass,Top Sellers,0,,,250,0,,0,0,151,185,Out of Stock from 9th July,
I457-AMC0005,BM166874,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0005.jpg),Akbar Metal and Brass,Discontinued,266,,,0,0,,3,12,47,82,269,
I457-AMC0009,BM166878,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0009.jpg),Akbar Metal and Brass,Discontinued,74,,,0,0,,2,10,33,61,80,
38164,BM82052,![my-image](http://benzaraanalytics.com/T_images/38164.jpg),Akbar Metal and Brass,Slow Seller,0,,,90,0,,,,,,Out of stck from 6th April,
MIL-CS-03,BM195216,![my-image](http://benzaraanalytics.com/T_images/MIL-CS-03.jpg),Akbar Metal and Brass,Top Sellers,0,,,250,0,,0,1,58,153,Out of stock from 24th June,
AYF-A4000209,BM193783,![my-image](http://benzaraanalytics.com/T_images/AYF-A4000209.jpg),Akbar Metal and Brass,Top Sellers,0,,,300,0,,5,18,118,173,Out of stock from 20th May,
MIL-TRY-C20,BM195219,![my-image](http://benzaraanalytics.com/T_images/MIL-TRY-C20.jpg),Akbar Metal and Brass,Discontinued,45,,,0,0,,15,42,79,89,60,
MIL-TRY-C29,BM195220,![my-image](http://benzaraanalytics.com/T_images/MIL-TRY-C29.jpg),Akbar Metal and Brass,Normal Seller,0,,,120,0,,0,28,111,131,7,
MIL-C-51,BM195212,![my-image](http://benzaraanalytics.com/T_images/MIL-C-51.jpg),Akbar Metal and Brass,Normal Seller,1,,,80,0,,9,25,83,93,27,
CTW-530050,BM195136,![my-image](http://benzaraanalytics.com/T_images/CTW-530050.jpg),Akbar Metal and Brass,Normal Seller,0,,,100,100,,0,0,2,100,Out of stock from 16th July,RE
CTW-770052,BM195134,![my-image](http://benzaraanalytics.com/T_images/CTW-770052.jpg),Akbar Metal and Brass,Slow Seller,22,,,80,0,,5,9,60,66,27,
MIL-C-50,BM195211,![my-image](http://benzaraanalytics.com/T_images/MIL-C-50.jpg),Akbar Metal and Brass,Discontinued,62,,,0,0,,3,6,17,21,64,
MIL-C-21C,BM195218,![my-image](http://benzaraanalytics.com/T_images/MIL-C-21C.jpg),Akbar Metal and Brass,Normal Seller,160,,,100,0,,0,0,0,73,Out of stock from 17th April,
I457-AMC0021,I457-AMC0021,,Akbar Metal and Brass,New Seller,21,21,,,0,,,,,,0,
MIL-C-08C,BM195217,![my-image](http://benzaraanalytics.com/T_images/MIL-C-08C.jpg),Akbar Metal and Brass,Normal Seller,0,,,80,180,,0,4,63,83,Out of stock from 15th May,
I457-AMC0019,I457-AMC0019,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0019.jpg),Akbar Metal and Brass,Normal Seller,112,,,0,0,,0,4,16,28,32,
I457-AMC0020,I457-AMC0020,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0020.jpg),Akbar Metal and Brass,Normal Seller,0,,,50,50,,0,0,36,44,Out of stock from 4th July,
IMX-88707,BM82436,![my-image](http://benzaraanalytics.com/T_images/IMX-88707.jpg),Akbar Metal and Brass,Normal Seller,261,,,0,130,,7,10,11,74,200,
CTW-770066,BM195137,![my-image](http://benzaraanalytics.com/T_images/CTW-770066.jpg),Akbar Metal and Brass,Normal Seller,93,,,0,100,,7,7,7,35,Out of stock from 27th march,
I457-AMC0025,I457-AMC0025,![my-image](http://benzaraanalytics.com/T_images/I457-AMC0025.jpg),Akbar Metal and Brass,New Seller,38,60,,20,0,,14,14,14,14,60,
UPT-184805,UPT-184805,![my-image](http://benzaraanalytics.com/T_images/UPT-184805.jpg),Alia Impex,Discontinued,100,,,0,0,,14,45,79,93,120,
UPT-184806,UPT-184806,![my-image](http://benzaraanalytics.com/T_images/UPT-184806.jpg),Alia Impex,Discontinued,98,,,0,0,,32,62,86,107,129,
UPT-184807,UPT-184807,![my-image](http://benzaraanalytics.com/T_images/UPT-184807.jpg),Alia Impex,Slow Seller,53,,,0,0,,14,35,78,96,70,
UPT-71700,BM154999,![my-image](http://benzaraanalytics.com/T_images/UPT-71700.jpg),Alia Impex,Normal Seller,0,,,0,0,,0,63,191,213,1,
BM47916,BM47916,![my-image](http://benzaraanalytics.com/T_images/BM47916.jpg),Alia Impex,Discontinued,353,,,0,0,,6,21,41,44,357,
BM01863,BM01863,![my-image](http://benzaraanalytics.com/T_images/BM01863.jpg),Alia Impex,Discontinued,163,,,0,0,,9,17,34,35,196,
UPT-228539,UPT-228539,,"ANJI SEATING GROUP CO.,LTD",New Seller,0,,,100,,,,,,,0,
UPT-228540,UPT-228540,,"ANJI SEATING GROUP CO.,LTD",New Seller,0,,,100,,,,,,,0,
UPT-228541,UPT-228541,,"ANJI SEATING GROUP CO.,LTD",New Seller,0,,,100,,,,,,,0,
UPT-228542,UPT-228542,,"ANJI SEATING GROUP CO.,LTD",New Seller,0,,,150,,,,,,,0,
